Job ID,title,expires_at,salary_min,salary_max,description,industry
100902,Biologist 1 (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,53605.08,94875.61,"Job ID: 100902 - Bachelor's degree in Biology or related natural or environmental science field. Must possess a Driver license. Must possess a SCUBA
 diving certification.",Research
100899,"Secretary (Regulatory &
 Economic Resources)",2026-05-20T00:00:00.000000Z,38405.23,64829.73,"Job ID: 100899 - High school diploma or GED. One year of advanced clerical
 experience is required.",Administrative Support
100893,Engineer 1 (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,70552.84,123798.92,"Job ID: 100893 - Bachelors degree in Engineering. A State of Florida Professional Engineer license or Bachelors degree in Engineering Technology awarded or having been enrolled prior to July 1, 1979 and proof of having passed the fundamentals test for the State of Florida Professional Engineer license may substitute for the required
 education.",Engineering
100892,Pollution Control Inspector 1 (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,53605.18,94875.64,"Job ID: 100892 - Bachelor's degree in Biology, Chemistry, Geology, Civil Engineering, Mechanical Engineering, Chemical Engineering, Environmental Engineering, or related natural science is required. Must possess a
 Driver license.",Environmental
100875,Zoning Clerk (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,37820.59,62745.25,Job ID: 100875 - High school diploma or GED. One year of clerical or public contact experience is required. Completion of college coursework may substitute for the required work experience on a year-for-year basis.,Administrative Support
100730,Plumbing Plans Processor (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,84703.65,145762.65,Job ID: 100730 - Applicants must meet one of the following requirements: (1) A current Master Plumber license issued by the Miami-Dade County Construction Trades Qualifying Board and five years of field experience under the Master Plumber license is required; OR (2) A current certificate as a State Plumbing Contractor issued by the Florida Construction Industry Licensing Board and five years of field experience under the State Plumbing Contractor certification is required; OR (3) A current State of Florida Professional Engineer license having obtained the license pursuant to examination in the mechanical discipline and have five years of field experience under the State of Florida Professional Engineer license is required; OR (4) A current State of Florida Professional Engineer license and ten years of experience under the State of Florida Professional Engineer license is required; OR (5) A current Broward County Master Plumber license and five years of field experience under the Broward County Master Plumber license and have applied for and received license reciprocity with Miami-Dade County is required.,Administrative Support
100915,Regulatory & Economic Resources Communications & Engagement Manager,2026-05-20T00:00:00.000000Z,92945.86,151296.07,"Job ID: 100915 - Bachelors degree. A minimum of three years of administrative experience to include intergovernmental affairs, community outreach, or public relations experience, to include supervisory experience, is required. Additional administrative experience in intergovernmental affairs, community outreach, or public relations experience may substitute for the required education on a year-for-year basis. Must possess a Driver s License.",Public Relations
100900,Environmental Resource Assistant (Regulatory & Economic Resources),2026-05-20T00:00:00.000000Z,37820.59,62745.25,"Job ID: 100900 - High school diploma or GED. One year of experience in environmental resource conservation is required; or completion of 30 semester credits to include 12 semester credits in Biology, Geology, Environmental Studies, or related science are required.",Environmental
100878,Elevator Section Supervisor (Regulatory & Economic Resources),2026-05-27T00:00:00.000000Z,99785.95,163629.72,"Job ID: 100878 - Must possess a Certificate of Competency as an Elevator Inspector issued by the State of Florida Department of Business and Professional Regulation and a Certified Inspectors license as specified in Chapter 399, Florida Statutes within 45 calendar days after date of hire. Four years of experience in the inspection of elevators to include two years of progressively responsible administrative and supervisory experience and one year of experience in the plans review and inspection of elevator and escalator installations are required. Must be able to climb ladders and stairways. Certificate and license must be in good standing with the Florida Department of Business and Professional Regulation with no pending complaints. Applicants qualifying for employment will be subject to an extensive security screening, including but not limited to fingerprint check, employment verification and other such procedures as may be required. Security clearance is a continuing condition of employment.",Management
100402,Regulatory and Economic Resources Senior Code Officer- Electrical,2026-05-27T00:00:00.000000Z,107295.91,177119.99,Job ID: 100402 - High school diploma or GED . Five years of experience inspecting electrical construction or examining plans. Two years of supervisory experience in the construction industry required. Must possess a Florida or Miami-Dade County Electrical Contractor's License or a Florida Professional Engineer's License maintained for a minimum of five years. All applicants qualifying for employment will be subject to extensive background screening and will be required to inactivate their certification at their own expense upon employment.,Public Administration
100405,"Regulatory & Economic Resources Building Code Administration External
 Affairs Coordinator",2026-05-27T00:00:00.000000Z,99785.95,163629.72,"Job ID: 100405 - Bachelor s degree. Minimum of four years of professional experience with the Florida Building Code and construction regulation, in government or legislative affairs, or public policy
 advocacy.",Public Relations
